sampling_method,model,summary,HARS,NoSampling,Balance,[14]
ADASYN,svmlinear,mean,0.385033086779692,0.235119772386355,0.460235320823187,0.473585943801248
ADASYN,svmlinear,median,0.457606086316744,0.070582074306037,0.549285419345863,0.554477523883085
ADASYN,svmlinear,std,0.276420121031031,0.281211587761494,0.227288659589604,0.219141625488558
ADASYN,svmrbf,mean,0.399569370560118,0.24431184167214,0.490300452192593,0.497893839567428
ADASYN,svmrbf,median,0.529760715096904,0.0630127173160914,0.57054335884046,0.551361484024891
ADASYN,svmrbf,std,0.270624773532711,0.281559743352674,0.209852540432307,0.208339477952303
ADASYN,lr,mean,0.464617668218562,0.35319893005705,0.462587763942143,0.477416869406165
ADASYN,lr,median,0.546975582735129,0.368490537821425,0.554405467654542,0.566905819888823
ADASYN,lr,std,0.224409328412084,0.254894091989131,0.232720970645938,0.225595940686283
RandomOverSampler,xgboost,mean,0.489463631080663,0.480354841781338,0.51023119664986,0.504418959374356
RandomOverSampler,xgboost,median,0.535764646034988,0.515346676665597,0.54293524376156,0.53815979518344
RandomOverSampler,xgboost,std,0.250958431721377,0.250263744467734,0.24307828813045,0.24477708858097
RandomOverSampler,mlp,mean,0.477250229844262,0.440461717960469,0.50113318970569,0.490153031379693
RandomOverSampler,mlp,median,0.495958579297157,0.459417159267484,0.542429317754841,0.523361811793479
RandomOverSampler,mlp,std,0.219726100522979,0.245467019286614,0.204082177014841,0.213007804930894
RandomOverSampler,knn,mean,0.451580934408143,0.343859572838809,0.474325339524124,0.47196136947948
RandomOverSampler,knn,median,0.481318773658546,0.407754266896012,0.520588518804466,0.498477434594463
RandomOverSampler,knn,std,0.193809180291358,0.276529258700016,0.181407017052727,0.182603961224301
RandomOverSampler,dt,mean,0.468263976339783,0.474381136602911,0.469065513705798,0.474074132279145
RandomOverSampler,dt,median,0.503111960536519,0.491009845455803,0.502784052595087,0.51006705673763
RandomOverSampler,dt,std,0.21874003615561,0.208614987256515,0.228331979428537,0.224900076364301
RandomOverSampler,rf,mean,0.466502500278312,0.399425886203362,0.466416898912288,0.474209608022475
RandomOverSampler,rf,median,0.511276285136369,0.451282002032694,0.534495723731722,0.533987927123034
RandomOverSampler,rf,std,0.263639810803741,0.294340517270588,0.28797360270157,0.279777702322529
RandomOverSampler,svmlinear,mean,0.37876157774704,0.235119772386355,0.466318196354012,0.478780929892583
RandomOverSampler,svmlinear,median,0.430064897371348,0.070582074306037,0.569967912012029,0.56061392144553
RandomOverSampler,svmlinear,std,0.257667520300274,0.281211587761494,0.229705483071371,0.216365513491233
RandomOverSampler,svmrbf,mean,0.377333696192602,0.24431184167214,0.488713572294731,0.492971873696783
RandomOverSampler,svmrbf,median,0.483017218480136,0.0630127173160914,0.549141682282808,0.541920381124904
RandomOverSampler,svmrbf,std,0.271136564128671,0.281559743352674,0.212172904030544,0.211036775850758
RandomOverSampler,lr,mean,0.438481781648792,0.35319893005705,0.465254464132033,0.476262047500389
RandomOverSampler,lr,median,0.536135073027114,0.368490537821425,0.558813578245929,0.56457843767903
