sampling_method,model,summary,HARS,Balance,[14]
ADASYN,rf,median,0.992805883360268,0.993128438426977,0.994854953475643
ADASYN,rf,std,0.0251608490553534,0.0202817186545391,0.0213932456252381
ADASYN,svmlinear,mean,0.923296022551637,0.916364330118443,0.921972253024899
ADASYN,svmlinear,median,0.948417954694225,0.945273116542417,0.950468799930661
ADASYN,svmlinear,std,0.0990666828097985,0.10189777361846,0.0975923598973046
ADASYN,svmrbf,mean,0.945584725244538,0.96230380406533,0.970032007753516
ADASYN,svmrbf,median,0.989765037103382,0.971530347179508,0.989025484982145
ADASYN,svmrbf,std,0.0849691998134745,0.0371829667297504,0.0318307656965339
ADASYN,lr,mean,0.914631293215349,0.916555333723075,0.921331412943236
ADASYN,lr,median,0.933729636794978,0.936878704751909,0.940412915752055
ADASYN,lr,std,0.0983980146616374,0.10112442913874,0.0977439946188574
RandomOverSampler,xgboost,mean,0.976068532959123,0.9754025072032,0.975415578784309
RandomOverSampler,xgboost,median,0.980191834157555,0.979339758053835,0.977770836935339
RandomOverSampler,xgboost,std,0.0277257455031716,0.0264742359177952,0.0260380279566713
RandomOverSampler,mlp,mean,0.968909552643976,0.96455253131154,0.962441276019783
RandomOverSampler,mlp,median,0.984600189915431,0.970342952025841,0.981743512562897
RandomOverSampler,mlp,std,0.036745204588637,0.031713209286505,0.0367165651004275
RandomOverSampler,knn,mean,0.966515665347075,0.965606671883858,0.966977334484816
RandomOverSampler,knn,median,0.983264827798716,0.978597602759123,0.979323502029481
RandomOverSampler,knn,std,0.0372440066228103,0.0381021075121364,0.038564556108016
RandomOverSampler,dt,mean,0.95892704112714,0.961130660331947,0.96115697348427
RandomOverSampler,dt,median,0.970520906903148,0.971235979470179,0.971235979470179
RandomOverSampler,dt,std,0.0376174656133903,0.0377798417851127,0.037070986823154
RandomOverSampler,rf,mean,0.978778581214538,0.982544861502456,0.98419404237993
RandomOverSampler,rf,median,0.991995490417136,0.991567278504209,0.993077870756564
RandomOverSampler,rf,std,0.0246187856494279,0.0238396237736941,0.0234960590605249
RandomOverSampler,svmlinear,mean,0.92263796130132,0.915210049726272,0.922605531636621
RandomOverSampler,svmlinear,median,0.948417954694225,0.944893252101838,0.946770270891754
RandomOverSampler,svmlinear,std,0.0985553852396732,0.103915548239585,0.0964562202536297
RandomOverSampler,svmrbf,mean,0.944926663994222,0.963023208916116,0.964461427559133
RandomOverSampler,svmrbf,median,0.98914198936978,0.98914198936978,0.98914198936978
RandomOverSampler,svmrbf,std,0.0845635226512104,0.0408384430310169,0.038342934150658
RandomOverSampler,lr,mean,0.913574579900839,0.922212584114572,0.922799308470898
RandomOverSampler,lr,median,0.933729636794978,0.934600648365874,0.936182090542588
RandomOverSampler,lr,std,0.0975336765486869,0.0956778205820318,0.0964744622256687
SMOTETomek,xgboost,mean,0.976068532959123,0.974294853987288,
SMOTETomek,xgboost,median,0.980191834157555,0.977289296574881,
SMOTETomek,xgboost,std,0.0277257455031716,0.0256635622991602,
SMOTETomek,mlp,mean,0.968909552643976,0.968504288115143,
SMOTETomek,mlp,median,0.984600189915431,0.981189642755079,
SMOTETomek,mlp,std,0.036745204588637,0.0309509330728668,
SMOTETomek,knn,mean,0.966515665347075,0.963525724396992,
SMOTETomek,knn,median,0.983264827798716,0.975879740199529,
SMOTETomek,knn,std,0.0372440066228103,0.0422336139758193,
SMOTETomek,dt,mean,0.95892704112714,0.959916000211876,
SMOTETomek,dt,median,0.970520906903148,0.971235979470179,
SMOTETomek,dt,std,0.0376174656133903,0.0361162828348709,
SMOTETomek,rf,mean,0.978778581214538,0.983033176160246,
SMOTETomek,rf,median,0.991995490417136,0.990214516757428,
SMOTETomek,rf,std,0.0246187856494279,0.0213553349654966,
SMOTETomek,svmlinear,mean,0.92263796130132,0.919854190164975,
SMOTETomek,svmlinear,median,0.948417954694225,0.948057512872843,
SMOTETomek,svmlinear,std,0.0985553852396732,0.0998629178896846,
SMOTETomek,svmrbf,mean,0.944926663994222,0.965156647227641,
SMOTETomek,svmrbf,median,0.98914198936978,0.98914198936978,
SMOTETomek,svmrbf,std,0.0845635226512104,0.0380489830020577,
SMOTETomek,lr,mean,0.913574579900839,0.921794771300375,
SMOTETomek,lr,median,0.933729636794978,0.934283640348555,
SMOTETomek,lr,std,0.0975336765486869,0.0967989430043883,
ClusterCentroids,xgboost,mean,0.976068532959123,0.92547477156191,
ClusterCentroids,xgboost,median,0.980191834157555,0.952758312567124,
ClusterCentroids,xgboost,std,0.0277257455031716,0.102350265925193,
ClusterCentroids,mlp,mean,0.968909552643976,0.920556087324626,
ClusterCentroids,mlp,median,0.984600189915431,0.942283745702205,
ClusterCentroids,mlp,std,0.036745204588637,0.0729808262783046,
ClusterCentroids,knn,mean,0.966515665347075,0.891295681332989,
ClusterCentroids,knn,median,0.983264827798716,0.932893144045151,
ClusterCentroids,knn,std,0.0372440066228103,0.181423600986612,
ClusterCentroids,dt,mean,0.95892704112714,0.863172377237962,
ClusterCentroids,dt,median,0.970520906903148,0.895594975649706,
ClusterCentroids,dt,std,0.0376174656133903,0.146793140629163,
ClusterCentroids,rf,mean,0.978778581214538,0.956708485120344,
ClusterCentroids,rf,median,0.991995490417136,0.960183358727976,
ClusterCentroids,rf,std,0.0246187856494279,0.0481378066020945,
ClusterCentroids,svmlinear,mean,0.92263796130132,0.887463740950668,
ClusterCentroids,svmlinear,median,0.948417954694225,0.940085579685219,
ClusterCentroids,svmlinear,std,0.0985553852396732,0.161169208643499,
ClusterCentroids,svmrbf,mean,0.944926663994222,0.924521880205803,
ClusterCentroids,svmrbf,median,0.98914198936978,0.958634589358114,
ClusterCentroids,svmrbf,std,0.0845635226512104,0.12201740049722,
ClusterCentroids,lr,mean,0.913574579900839,0.886249254194994,
ClusterCentroids,lr,median,0.933729636794978,0.934747977545855,
